Chromosome	start	end	length (bp)	num
chr10	12761931	12763050	1119	121
chr10	51622974	51624045	1071	122
chr5	131746128	131747035	907	123
chr6	86114285	86115853	1568	124
chr20	3026142	3027227	1085	125
chr1	43123690	43124476	786	126
chr1	227730042	227730709	667	127
chr15	91072855	91073953	1098	128
chr1	182557829	182558616	787	129
chr5	141736235	141737084	849	130
chr2	15700747	15702188	1441	131
chr9	130681594	130682068	474	132
chr2	220362549	220363064	515	133
chr20	33893369	33893994	625	134
chr3	127794433	127794845	412	135
chr3	57541445	57542180	735	136
chr3	150863658	150864791	1133	137
chr6	100015949	100016887	938	138
chr2	10633667	10634101	434	139
chr1	223254565	223255064	499	140
chr1	228290523	228291309	786	141
chr15	74219405	74220419	1014	142
chr15	72667695	72669054	1359	143
chr15	72962931	72963463	532	144
chr20	36156035	36156810	775	145
chr12	89919037	89920083	1046	146
chr11	59317731	59318321	590	147
chr1	228674429	228675716	1287	148
chr10	26985922	26986971	1049	149
chr14	21149400	21150329	929	150
chr20	62495273	62495944	671	151
chr3	197676593	197677299	706	152
chr6	16760045	16760940	895	153
chr9	45726776	45727774	998	154
chr1	53163710	53164244	534	155
chr10	60094569	60095857	1288	156
chr11	61792916	61793557	641	157
chr14	50064920	50066106	1186	158
chr12	42876576	42878348	1772	159
chr1	94311410	94312436	1026	160
chr11	121322505	121323489	984	161
chr2	46542254	46543054	800	162
chr10	135091830	135092768	938	163
chr2	96926167	96926811	644	164
chr20	34638394	34639084	690	165
chr1	12537929	12538913	984	166
chr2	10548101	10548837	736	167
chr1	119543903	119545049	1146	168
chr12	121647742	121648415	673	169
chr1	201244328	201244821	493	170
chr1	225997635	225998455	820	171
chr2	170440714	170441622	908	172
chr6	144605804	144607022	1218	173
chr9	130341228	130341644	416	174
chr2	31637407	31638112	705	175
chr2	74692218	74692660	442	176
chr14	102197425	102197937	512	177
chr3	122785665	122786607	942	178
chr6	158447095	158448128	1033	179
chr7	65579548	65580471	923	180
chr1	203661728	203662205	477	181
chr6	143857824	143858870	1046	182
chr19	18699421	18700571	1150	183
chr3	128712243	128713154	911	184
chr10	134221361	134222168	807	185
chr6	111926726	111927695	969	186
chr11	67781782	67782474	692	187
chr5	43066321	43067344	1023	188
chr11	1147814	1148440	626	189
chr7	5085134	5086167	1033	190
chr2	29033201	29034134	933	191
chr5	143569345	143570080	735	192
chr6	14743615	14744550	935	193
chr6	3209350	3210127	777	194
chrX	153637205	153638092	887	195
chr7	149156704	149158178	1474	196
chr1	44047704	44048260	556	197
chr2	232276591	232277455	864	198
chr2	85811479	85812612	1133	199
chr1	207200494	207200929	435	200
chr1	228463264	228464027	763	201
chr2	102133643	102134555	912	202
chr1	202204800	202205797	997	203
chr10	11726652	11727640	988	204
chr1	183884806	183885667	861	205
chr7	99214141	99214983	842	206
chr7	6432479	6433359	880	207
chr9	116327097	116328016	919	208
chr10	99473172	99474493	1321	209
chr7	27717432	27718836	1404	210
chr6	45978625	45979666	1041	211
chr12	113679051	113680131	1080	212
chr17	76879177	76880277	1100	213
chr14	34965960	34967086	1126	214
chr6	27839687	27840317	630	215
chr9	114721750	114722521	771	216
chr6	42847253	42847957	704	217
chr1	112936734	112937487	753	218
chrX	118739440	118741327	1887	219
chr2	173940327	173941536	1209	220
chr16	85044486	85045529	1043	221
chr17	71287434	71288599	1165	222
chr20	25843625	25844557	932	223
chr2	110459890	110460578	688	224
chr7	128577686	128578612	926	225
chr20	34286296	34287796	1500	226
chr20	48729181	48729902	721	227
chr7	99097356	99098163	807	228
chr16	74440562	74441432	870	229
chr11	2954545	2955001	456	230
chr16	57624613	57625660	1047	231
chr3	119012691	119013902	1211	232
chr2	201171017	201172303	1286	233
chr16	4322760	4324164	1404	234
chr7	5436448	5437218	770	235
chr1	109805982	109806598	616	236
chr2	43395921	43396855	934	237
chr6	44040497	44041313	816	238
chr8	102039091	102040051	960	239
chr2	65086317	65087340	1023	240
chr4	6675538	6676659	1121	241
chr11	65275560	65276158	598	242
chr16	74734395	74735265	870	243
chr6	27446522	27447550	1028	244
chr11	63655675	63656453	778	245
chr1	234859007	234859690	683	246
chr7	156735291	156736681	1390	247
chr10	103453758	103455067	1309	248
chr15	66585523	66586711	1188	249
chr17	10600440	10601383	943	250
chr1	45285047	45286285	1238	251
chr1	144989103	144990001	898	252
chr1	144028409	144029523	1114	253
chr3	186307333	186308905	1572	254
chr3	195530944	195531940	996	255
chr1	206680187	206681411	1224	256
chr6	158243708	158245473	1765	257
chr3	159942564	159944149	1585	258
chr1	19614032	19615726	1694	259
chrX	149861603	149863254	1651	260
chr6	37189773	37190734	961	261
chr20	49278411	49280218	1807	262
chr6	139349569	139351032	1463	263
chr11	19797939	19799593	1654	264
chr7	135242330	135243549	1219	265
chr11	75272939	75274480	1541	266
chr1	35246650	35248007	1357	267
chr1	202112193	202114118	1925	268
chr20	44097751	44099580	1829	269
chr7	150019959	150021033	1074	270
chrX	118108397	118109760	1363	271
chr2	74006837	74007549	712	272
chr7	128509012	128510181	1169	273
chr3	195447631	195448469	838	274
chr14	71107629	71109654	2025	275
chr1	153747594	153748868	1274	276
chr19	18402487	18404045	1558	277
chr5	138860799	138862665	1866	278
chr14	105198690	105199668	978	279
chr4	3385961	3388096	2135	280
chr13	20692457	20693633	1176	281
chr16	75142763	75144133	1370	282
chr2	65657661	65658733	1072	283
chr22	21609414	21610828	1414	284
chr12	66217621	66219577	1956	285
chr9	123342163	123342732	569	286
chr11	77850412	77850975	563	287
chr6	166970168	166970946	778	288
chr2	223183605	223185543	1938	289
chr9	66952881	66955088	2207	290
chr6	112408382	112409139	757	291
chr2	111141734	111142713	979	292
chr2	110743911	110744820	909	293
chr20	16710324	16710930	606	294
chr3	186545132	186545689	557	295
chr2	112456365	112457038	673	296
chr7	148936460	148937011	551	297
chr16	68344384	68345391	1007	298
chr11	63639235	63639916	681	299
chr1	235324325	235325012	687	300
chr2	99224696	99225369	673	301
chr15	89010301	89011211	910	302
chr6	79786613	79787390	777	303
chr7	30634178	30635278	1100	304
chr1	36765515	36766004	489	305
chr2	200715262	200716324	1062	306
chrX	71400985	71401864	879	307
chr1	28414857	28415548	691	308
chr12	95867543	95868446	903	309
chr21	34755192	34755876	684	310
chr3	93692302	93692959	657	311
chr2	219523927	219524606	679	312
chr11	57528875	57529529	654	313
chr3	131221480	131222163	683	314
chr7	72349562	72350397	835	315
chr2	87766270	87766679	409	316
chr9	127615163	127615843	680	317
chr20	5986347	5987335	988	318
chr2	113190664	113191375	711	319
chr19	53289562	53290568	1006	320
chr12	52585595	52586359	764	321
chr7	152372887	152373496	609	322
chr2	217363382	217363981	599	323
chr1	42921855	42922707	852	324
chr11	61100464	61100971	507	325
chr1	37979868	37980741	873	326
chr6	21587205	21588960	1755	327
chr9	71650523	71651081	558	328
chr17	39681486	39683036	1550	329
chr8	22931864	22932669	805	330
chr1	28936	29457	521	331
chr5	179105327	179105870	543	332
chr13	20356320	20357328	1008	333
chr7	150102113	150102728	615	334
chr7	6746160	6746855	695	335
chr2	191583303	191584198	895	336
