seqnames	start	end	annot	transcript_id	symbol	bp	Isblue?
chr12	132815639	132815889	intron	ENST00000328957	GALNT9	250	
chr9	115846414	115847424	intergenic	ENST00000439875	FAM225B	1010	
chr19	54613041	54613311	promoter	ENST00000482960	NDUFA3	270	
chr2	239204444	239205433	intergenic	ENST00000437372	AC012485.2	989	
chr11	397903	398909	promoter	ENST00000526971	PKP3	1006	
chr1	1912821	1913709	intron	ENST00000468610	C1orf222	888	
chr19	37782096	37782418	intergenic	ENST00000586442	CTD-3220F14.1	322	
chr2	11776847	11777488	intron	ENST00000396123	GREB1	641	
chr12	132813440	132813985	intron	ENST00000328957	GALNT9	545	
chr1	110663023	110663256	intergenic	ENST00000334179	UBL4B	233	
chr7	155893958	155894405	intergenic	ENST00000384333	Y_RNA	447	
chr20	36202030	36202951	intergenic	ENST00000423261	GLRXP	921	
chr1	228778123	228778480	promoter	ENST00000365055	RNA5S15	357	
chr1	4503130	4503709	intergenic	ENST00000423197	RP5-1166F10.1	579	
chr20	62781169	62781776	promoter	ENST00000360149	MYT1	607	
chr18	8890911	8891510	intergenic	ENST00000359865	SOGA2	599	y
chr14	64330729	64331355	promoter	ENST00000556725	SYNE2	626	y
chr3	195509793	195510202	exon	ENST00000478156_152007		409	
chr11	134831292	134832253	intergenic	ENST00000528497	RP11-555G19.1	961	
chr5	11443246	11443549	intron	ENST00000508761	CTNND2	303	
chr9	140244387	140245281	intron	ENST00000484392	EXD3	894	
chr19	39648485	39649257	promoter	ENST00000599657	PAK4	772	
chr10	132271970	132272400	intron	ENST00000439421	RP11-540N6.1	430	
chr11	41553950	41554439	intron	ENST00000526978	RP11-124G5.3	489	
chr1	247292118	247293363	intron	ENST00000476312	ZNF124	1245	
chr20	61588799	61589615	intron	ENST00000411611	SLC17A9	816	
chr19	30056819	30058660	intergenic	ENST00000335523	VSTM2B	1841	
chr19	49337650	49338689	promoter	ENST00000595764	HSD17B14	1039	
chr1	37259254	37259535	intergenic	ENST00000373091	GRIK3	281	
chr12	131780776	131781831	promoter	ENST00000508505	RP11-495K9.3	1055	
chr19	32223716	32224929	intergenic	ENST00000365024	RNU6-967P	1213	
chr2	211054239	211055494	intron	ENST00000412065	AC006994.2	1255	y
chr1	37449602	37450029	intron	ENST00000373093	GRIK3	427	
chr1	40128961	40129465	intron	ENST00000235628	NT5C1A	504	
chr14	38677991	38678610	promoter	ENST00000267377	SSTR1	619	y
chr1	4769995	4770757	promoter	ENST00000466761	AJAP1	762	
chr21	47318748	47319014	promoter	ENST00000468429	PCBP3	266	
chr19	34280154	34280686	intergenic	ENST00000587658	KCTD15	532	
chrX	23522303	23522698	intergenic	ENST00000458766	snoU13	395	y
chr13	108686039	108687002	intergenic	ENST00000375915	FAM155A	963	y
chr21	16512741	16513203	intergenic	ENST00000449746	AF127577.12	462	y
chr4	69817171	69817631	promoter	ENST00000251566	UGT2A3	460	y
chr1	224136990	224138052	promoter	ENST00000424045	CICP5	1062	
chr11	1796937	1797410	intergenic	ENST00000449749	AC068580.7	473	
chr11	132947949	132948284	intron	ENST00000529038	OPCML	335	
chr1	1276059	1277202	intron	ENST00000472445	DVL1	1143	
chrX	2526973	2527761	promoter	ENST00000527459	CD99P1	788	y
chr14	72448205	72449425	intron	ENST00000402788	RGS6	1220	
chr18	21718709	21719338	promoter	ENST00000327201	CABYR	629	y
chr18	21851298	21852369	promoter	ENST00000585247	OSBPL1A	1071	y
chr4	170121436	170122132	promoter	ENST00000510225	RP11-327O17.2	696	y
chr14	77589823	77590311	intron	ENST00000557752	RP11-463C8.4	488	y
chr3	65938946	65939447	promoter	ENST00000460754	MAGI1-IT1	501	y
chr12	10826411	10827032	promoter	ENST00000541561	STYK1	621	y
chr13	76334271	76334966	promoter	ENST00000465261	LMO7	695	y
chr4	106816201	106816854	promoter	ENST00000503451	NPNT	653	y
chr8	119890394	119891274	intergenic	ENST00000297350	TNFRSF11B	880	y
chr18	3230353	3230820	intron	ENST00000580139	RP13-270P17.2	467	y
chr4	23789895	23790557	intron	ENST00000509702	PPARGC1A	662	y
chr4	72978120	72978772	intron	ENST00000358749	NPFFR2	652	y
chr6	53719637	53720021	intron	ENST00000370882	LRRC1	384	y
chr18	59561256	59561922	promoter	ENST00000588396	RNF152	666	y
chr5	158122586	158122909	intergenic	ENST00000519890	EBF1	323	y
chr6	43894454	43895332	intergenic	ENST00000422059	RP5-1120P11.1	878	y
chr17	38439964	38440892	intron	ENST00000323571	WIPF2	928	y
chr4	103541806	103542546	intergenic	ENST00000226574	NFKB1	740	y
chr5	170176920	170177427	intron	ENST00000521965	MIR4454	507	y
chr4	25864064	25865011	promoter	ENST00000513364	SEL1L3	947	y
chr12	15815552	15815954	promoter	ENST00000540613	EPS8	402	y
chr19	11545786	11546623	promoter	ENST00000586836	CCDC151	837	y
chrX	13006739	13007333	intergenic	ENST00000451311	TMSB4X	594	y
chr18	21692827	21693592	promoter	ENST00000540918	TTC39C	765	y
chr9	27371349	27371791	intron	ENST00000603061	MOB3B	442	y
chr18	29738048	29738594	intron	ENST00000583696	GAREM	546	y
chr3	18699491	18700274	intron	ENST00000595388	AC144521.1	783	y
chr7	158995654	158996480	intergenic	ENST00000437005	PIP5K1P2	826	
chr12	15865506	15866240	promoter	ENST00000543612	EPS8	734	y
chr4	155547868	155548555	promoter	ENST00000499392	LRAT	687	y
chr5	106810443	106811097	intron	ENST00000505499	EFNA5	654	y
chr17	39956851	39957456	intergenic	ENST00000355468	LEPREL4	605	y
chr18	68048808	68049145	exon	ENST00000582251_572674	337		y
chr20	22471368	22471859	intergenic	ENST00000420070	LINC00261	491	y
chr13	61989175	61989676	promoter	ENST00000409204	PCDH20	501	y
chr5	78791005	78791692	intron	ENST00000535690	HOMER1	687	y
chr1	157210261	157210939	intergenic	ENST00000449345	RP11-85G21.1	678	y
chr17	56591826	56592157	promoter	ENST00000582390	MTMR4	331	y
chr1	27240311	27240999	promoter	ENST00000254227	NR0B2	688	y
chr4	149366324	149366956	promoter	ENST00000344721	NR3C2	632	y
chr13	74861868	74862243	promoter	ENST00000383890	RNY1P5	375	y
chr15	53745621	53746295	intergenic	ENST00000567224	WDR72	674	y
chr7	87198356	87198910	intron	ENST00000543898	ABCB1	554	y
chr4	38134715	38135185	promoter	ENST00000492180	TBC1D1	470	y
chr18	77005558	77006476	intron	ENST00000587878	ATP9B	918	
chr4	42658842	42659808	promoter	ENST00000562054	RP11-109E24.2	966	y
chr8	128309764	128310584	intron	ENST00000523825	CASC8	820	y
chr18	25236246	25236678	intergenic	ENST00000584546	RP11-739N10.1	432	y
chr4	83316004	83316436	intergenic	ENST00000503202	IGBP1P4	432	y
chr18	3773069	3773731	promoter	ENST00000584060	RP11-874J12.3	662	y
chr1	65210283	65210996	promoter	ENST00000371072	RAVER2	713	y
chr4	22970924	22971638	intergenic	ENST00000511453	RP11-412P11.1	714	y
chr15	29966880	29967293	promoter	ENST00000536835	RP11-680F8.1	413	y
chr8	4195706	4196553	intron	ENST00000539096	CSMD1	847	y
chr18	21594009	21595594	promoter	ENST00000579713	RP11-403A21.2	1585	y
chr18	13823915	13824237	promoter	ENST00000390194	AP001525.1	322	y
chr17	48845654	48846094	promoter	ENST00000502517	LINC00483	440	y
chr8	22601135	22601604	promoter	ENST00000519624	RP11-459E5.1	469	y
chrX	19352288	19352590	intergenic	ENST00000379806	PDHA1	302	y
chr14	65346358	65347344	promoter	ENST00000542895	SPTB	986	y
chr15	64540179	64540503	intron	ENST00000606793	CTD-2116N17.1	324	y
chr6	82547755	82548150	intergenic	ENST00000418567	RP11-379B8.1	395	y
chr11	104322692	104323628	intron	ENST00000536529	RP11-886D15.1	936	y
chr17	46342828	46343603	intron	ENST00000581419	SKAP1	775	y
chr2	146971789	146972404	intergenic	ENST00000413391	RPL17P12	615	y
chrX	24517071	24517405	intron	ENST00000493226	PDK3	334	y
chr12	15323979	15324554	intron	ENST00000393736	RERG	575	y
chr14	73928913	73929398	promoter	ENST00000561382	RP1-240K6.3	485	y
chr12	71556548	71557645	intron	ENST00000549421	TSPAN8	1097	y
chr4	77625261	77626040	intron	ENST00000486758	SHROOM3	779	y
chr14	53167381	53167871	intergenic	ENST00000556039	ERO1L	490	y
chr15	83349039	83349480	promoter	ENST00000543938	AP3B2	441	y
chr18	28591355	28591777	intron	ENST00000434452	DSC3	422	y
chr6	30226869	30227564	promoter	ENST00000420110	HLA-L	695	y
chr12	12550932	12551724	intron	ENST00000298571	LOH12CR1	792	y
chr18	7926531	7927006	intron	ENST00000400053	PTPRM	475	y
chr5	156874176	156874688	intron	ENST00000519499	CTB-109A12.1	512	y
chr4	105415971	105416679	promoter	ENST00000466963	CXXC4	708	y
chr1	247526375	247526698	intergenic	ENST00000478225	ZNF496	323	
chr14	68205454	68206247	intron	ENST00000394455	ZFYVE26	793	y
chr18	21977090	21978175	promoter	ENST00000582618	OSBPL1A	1085	y
chr5	31020930	31021844	intergenic	ENST00000495944	RPL19P11	914	y
chr17	73597354	73597809	promoter	ENST00000584323	MYO15B	455	y
chr1	165614855	165615573	promoter	ENST00000461759	MGST3	718	y
chr12	89466458	89467244	intron	ENST00000549278	RP11-13A1.3	786	y
chr4	139120636	139121025	intron	ENST00000509248	SLC7A11	389	y
chr8	103941579	103942473	promoter	ENST00000517996	KB-1507C5.2	894	y
chr15	36469921	36470501	intron	ENST00000561394	RP11-184D12.1	580	y
chr8	15397612	15398367	promoter	ENST00000503731	TUSC3	755	y
chr7	98013278	98014497	promoter	ENST00000398259	RPS3AP26	1219	y
chr18	3051740	3052729	intergenic	ENST00000356443	MYOM1	989	y
chr15	98491142	98491429	intron	ENST00000538249	ARRDC4	287	y
chrX	24167349	24168808	promoter	ENST00000427551	ZFX-AS1	1459	y
chr13	30682897	30683442	promoter	ENST00000432770	LINC00365	545	y
chr10	65479858	65480099	intron	ENST00000444770	RP11-170M17.1	241	y
chr22	43336262	43336736	intron	ENST00000453079	PACSIN2	474	y
chr18	24235854	24237453	promoter	ENST00000584630	KCTD1	1599	y
chr18	29665002	29665389	intron	ENST00000583184	RP11-53I6.2	387	y
chrX	123540218	123540808	intron	ENST00000469481	STAG2	590	y
chr21	29628568	29629059	intergenic	ENST00000453420	AL035610.2	491	y
chr14	24777038	24777597	promoter	ENST00000554411	CIDEB	559	y
chr7	90350197	90350681	intron	ENST00000436577	CDK14	484	y
chr3	118930104	118930466	intergenic	ENST00000483209	B4GALT4	362	y
chr17	33759489	33760107	promoter	ENST00000304905	SLFN12	618	y
chr6	126265396	126265975	intergenic	ENST00000229633	HINT3	579	y
chr18	8341512	8342175	intron	ENST00000577827	PTPRM	663	y
chr13	60586478	60586983	promoter	ENST00000435636	DIAPH3-AS1	505	y
chr2	43232429	43233212	promoter	ENST00000457457	AC016735.1	783	y
chr4	72052163	72052582	promoter	ENST00000264485	SLC4A4	419	y
chr18	11005554	11005954	intron	ENST00000582913	PIEZO2	400	y
chr6	52254401	52254862	intron	ENST00000360726	PAQR8	461	y
chr16	1031471	1032054	promoter	ENST00000565467	RP11-161M6.2	583	y
chr14	68987627	68988132	intron	ENST00000478014	RAD51B	505	y
chr4	38387157	38387752	intron	ENST00000503465	RP11-83C7.1	595	y
chr12	18951259	18952375	intergenic	ENST00000317658	CAPZA3	1116	y
chr8	74219833	74220352	intron	ENST00000520894	RP11-434I12.2	519	y
chr11	134526444	134526989	intergenic	ENST00000529417	RP11-469N6.3	545	
chr10	108273148	108273531	intergenic	ENST00000399415	RP11-446H13.2	383	y
chr2	165770474	165770888	promoter	ENST00000483641	SLC38A11	414	y
chr9	28915264	28915864	intergenic	ENST00000401120	MIR873	600	y
chr1	244231070	244231550	intron	ENST00000598000	AL590483.1	480	y
chr4	24384043	24384371	intergenic	ENST00000410330	AC092846.1	328	y
chr5	103398196	103398978	intergenic	ENST00000514769	RP11-138J23.1	782	y
chr8	1878704	1879351	intron	ENST00000522435	ARHGEF10	647	y
chr8	37159582	37160492	intergenic	ENST00000518765	RP11-527N22.1	910	y
chr19	10859669	10860777	intron	ENST00000586939	DNM2	1108	y
chr8	38124767	38125231	promoter	ENST00000530193	PPAPDC1B	464	y
chr14	100625737	100626234	promoter	ENST00000553834	DEGS2	497	y
chr17	70514867	70515633	intron	ENST00000580861	LINC00511	766	y
chr11	22213851	22215484	promoter	ENST00000324559	ANO5	1633	y
chr11	91530137	91530591	promoter	ENST00000581290	RP11-201M22.1	454	y
chr4	174112844	174113342	intron	ENST00000512285	GALNT7	498	y
chr8	98861557	98862712	intron	ENST00000521545	LAPTM4B	1155	y
chr12	132401688	132401954	promoter	ENST00000540647	ULK1	266	
chr10	98623698	98624364	intron	ENST00000371097	LCOR	666	y
chr5	67497853	67498258	intergenic	ENST00000520762	RP11-404L6.2	405	y
chr8	71115117	71115743	intron	ENST00000518287	NCOA2	626	y
chr18	20695658	20696122	intergenic	ENST00000400473	CABLES1	464	y
chr18	19577616	19577921	promoter	ENST00000577673	AC091043.1	305	y
chr17	72746567	72746861	promoter	ENST00000585285	MIR3615	294	y
chr18	19866602	19866925	intergenic	ENST00000459476	snoU13	323	y
chr1	2688905	2690000	intron	ENST00000401095	TTC34	1095	
chr12	15842656	15843267	intron	ENST00000544064	EPS8	611	y
chr5	54467950	54468191	promoter	ENST00000516047	MIR449C	241	y
chr12	19219371	19219904	intergenic	ENST00000449390	RPL7P6	533	y
chr2	109002050	109002496	intron	ENST00000409309	SULT1C4	446	y
chr4	40475810	40476436	promoter	ENST00000507180	RBM47	626	y
chr4	115484596	115485293	intergenic	ENST00000310836	UGT8	697	y
chr5	56731545	56732157	intron	ENST00000506106	CTD-2023N9.1	612	y
chr5	98215879	98216617	intron	ENST00000284049	CHD1	738	y
chr6	155649620	155650370	intergenic	ENST00000475849	TFB1M	750	y
chr8	23039576	23039972	intergenic	ENST00000518308	RP11-1149O23.2	396	y
chr14	65409340	65409856	promoter	ENST00000557323	GPX2	516	y
chr18	12659958	12660445	promoter	ENST00000589405	PSMG2	487	y
chr16	57286027	57286608	promoter	ENST00000564376	RP11-407G23.3	581	y
chr12	89900906	89901589	intron	ENST00000546830	POC1B	683	y
chr3	172635673	172636396	intron	ENST00000351008	SPATA16	723	y
chr6	56263991	56264896	intergenic	ENST00000370819	COL21A1	905	y
chr8	86459177	86459730	intergenic	ENST00000520459	RP11-317J10.4	553	y
chr18	21699037	21699241	promoter	ENST00000583782	RP11-799B12.2	204	y
chr8	4188712	4189987	intron	ENST00000539096	CSMD1	1275	y
chr15	41324040	41324393	intron	ENST00000558357	INO80	353	
chr7	57265415	57265595	promoter	ENST00000423752	RP11-1217F2.13	180	
chr12	7055207	7055997	promoter	ENST00000538318	PTPN6	790	y
chr1	73361638	73361801	intron	ENST00000445976	RP4-660H19.1	163	
chr2	15499821	15500945	intron	ENST00000442506	NBAS	1124	
chr6	97944099	97944304	intergenic	ENST00000574739	RP3-418C23.2	205	
chr19	31869090	31869843	intron	ENST00000585336	AC007796.1	753	
chr17	80544014	80544489	promoter	ENST00000575578	FOXK2	475	
chr7	148469337	148470194	intron	ENST00000325222	CUL1	857	
chr10	129595626	129595975	intergenic	ENST00000388920	FOXI2	349	
chr2	217237783	217238658	promoter	ENST00000273067	4-Mar	875	
chr19	38489929	38490545	intron	ENST00000476317	SIPA1L3	616	
chr10	133797280	133797729	promoter	ENST00000368636	BNIP3	449	
chr10	133661124	133661318	intergenic	ENST00000341866	AL450307.1	194	
chr2	36129295	36129643	intergenic	ENST00000431951	MRPL50P1	348	
chr4	122791099	122792004	promoter	ENST00000567769	RP11-63B13.1	905	y
chr10	96989136	96989837	promoter	ENST00000451737	RP11-310E22.4	701	
chr12	6387233	6388200	intergenic	ENST00000539998	RP1-96H9.5	967	y
chr1	237963084	237963484	promoter	ENST00000466626	RYR2	400	y
chr11	117109912	117110426	exon	ENST00000529869_361297	514		
chr9	137494257	137495098	intergenic	ENST00000371817	COL5A1	841	
chr19	35809800	35810562	promoter	ENST00000601414	CD22	762	
chr19	38530496	38531253	intron	ENST00000476317	SIPA1L3	757	
chr12	108876411	108877044	intron	ENST00000502160	RP11-13G14.4	633	
chr1	210612139	210613054	promoter	ENST00000367009	HHAT	915	
chr7	157599753	157600564	intron	ENST00000404321	PTPRN2	811	
chr17	68185179	68185450	intergenic	ENST00000243457	KCNJ2	271	
chr19	30019124	30019835	promoter	ENST00000579268	CTC-525D6.2	711	
chr7	154861699	154862044	promoter	ENST00000287907	HTR5A	345	
chr7	2915618	2916223	intergenic	ENST00000396946	CARD11	605	
chr3	168602522	168603249	intergenic	ENST00000484765	RP11-368I23.2	727	
chr2	15309734	15310359	intron	ENST00000485694	NBAS	625	
chr19	33367595	33368355	promoter	ENST00000586628	CTD-2085J24.4	760	
chr11	117151727	117152451	promoter	ENST00000524917	RNF214	724	
chr12	116400382	116401203	promoter	ENST00000549725	RP11-493P1.2	821	
chr4	85420209	85421036	promoter	ENST00000295886	NKX6-1	827	y
chr19	37793700	37794465	intergenic	ENST00000591471	HKR1	765	
chr3	183894085	183894896	promoter	ENST00000431779	AP2M1	811	
chr16	86985326	86986094	intergenic	ENST00000566109	RP11-107C10.1	768	
chr3	14203211	14203401	intron	ENST00000477324	XPC	190	
chr16	28394898	28395627	intron	ENST00000398943	EIF3CL	729	
chr19	42617722	42618169	intron	ENST00000531773	POU2F2	447	
chr1	165868016	165868540	promoter	ENST00000463772	UCK2	524	
chr5	79715065	79715253	intron	ENST00000510995	ZFYVE16	188	
chrX	44731642	44733410	promoter	ENST00000475233	KDM6A	1768	y
chr19	36095937	36096410	intergenic	ENST00000589603	AC002115.9	473	
chr16	28742292	28743038	promoter	ENST00000569005	EIF3C	746	
chr18	21032725	21033693	promoter	ENST00000577501	RIOK3	968	y
chr11	12185010	12186343	promoter	ENST00000379612	MICAL2	1333	
chr14	76815171	76815651	promoter	ENST00000390772	AC016543.1	480	
chr17	21305235	21305901	intron	ENST00000583088	KCNJ12	666	
chr9	137394472	137395015	intergenic	ENST00000444936	RP11-473E2.2	543	
chr19	38704515	38705167	promoter	ENST00000488378	DPF1	652	
chr8	143273979	143275177	intergenic	ENST00000517704	LINC00051	1198	
chr18	24060728	24061749	intron	ENST00000578973	KCTD1	1021	y
chr11	20118774	20119500	intron	ENST00000311043	NAV2	726	
chr14	56298766	56299226	intergenic	ENST00000560336	LINC00520	460	y
chr20	22392204	22392708	intron	ENST00000377121	RP5-1004I9.1	504	y
chr19	39564251	39564693	intergenic	ENST00000601575	PAPL	442	
chr3	126326051	126326334	promoter	ENST00000519162	TXNRD3	283	
chr5	89316952	89317321	intergenic	ENST00000584845	MIR3660	369	y
chr11	117069701	117070445	promoter	ENST00000278968	TAGLN	744	
chr1	19586986	19587534	intergenic	ENST00000330263	MRTO4	548	
chr15	26020460	26021175	intron	ENST00000555815	ATP10A	715	
chr2	102353912	102354557	intron	ENST00000417294	MAP4K4	645	y
chr4	141264454	141264871	promoter	ENST00000506322	SCOC	417	y
chr2	242054831	242055272	intron	ENST00000493544	PASK	441	
chr17	39686341	39686778	promoter	ENST00000361566	KRT19	437	y
chr13	42270599	42271143	promoter	ENST00000478987	VWA8	544	y
chr19	33236950	33238144	intron	ENST00000421545	TDRD12	1194	
chr12	33049306	33050344	promoter	ENST00000546741	PKP2	1038	y
chr10	81239097	81239352	intergenic	ENST00000557620	TPRX1P1	255	
chr20	36919560	36920024	exon	ENST00000451435_619426		464	
chr10	126028465	126028958	intergenic	ENST00000539214	OAT	493	
chr11	120088623	120089064	intron	ENST00000531220	OAF	441	
chr15	51369174	51369713	intron	ENST00000559909	RP11-108K3.1	539	
chr16	19843028	19843331	intron	ENST00000568061	IQCK	303	
chrX	1510891	1512012	promoter	ENST00000484026	SLC25A6	1121	y
chr3	71591682	71592117	promoter	ENST00000408337	MIR1284	435	
chr19	33963942	33964303	intron	ENST00000590408	PEPD	361	
chr17	64536177	64536808	intron	ENST00000284384	PRKCA	631	
chr11	1078428	1079839	intron	ENST00000359061	MUC2	1411	
chr12	98793216	98793758	intergenic	ENST00000364426	RNU4-41P	542	
chr1	15322511	15323031	intron	ENST00000400797	KAZN	520	
chr2	208352490	208352976	intron	ENST00000418850	AC007879.5	486	
chr3	128914473	128915151	intergenic	ENST00000422453	CNBP	678	
chr6	110064994	110065287	intron	ENST00000230124	FIG4	293	
chr7	86688557	86689480	promoter	ENST00000423294	KIAA1324L	923	y
chr3	127453590	127454743	promoter	ENST00000398101	MGLL	1153	
chr9	127105090	127105743	intron	ENST00000539416	NEK6	653	
chr4	99064059	99065056	promoter	ENST00000295268	STPG2	997	y
chr11	70496478	70496740	intron	ENST00000445654	SHANK2	262	
chr11	1691687	1692395	intergenic	ENST00000382167	FAM99A	708	
